date, Grid load forecast, Wind power forecast,OT
2017/4/30 0:00,40028.0,457.0,29.61
2017/4/30 1:00,39297.0,491.0,28.63
2017/4/30 2:00,39087.0,516.0,28.09
2017/4/30 3:00,39099.0,563.0,27.87
2017/4/30 4:00,39131.0,572.0,27.55
2017/4/30 5:00,39506.0,607.0,27.58
2017/4/30 6:00,39937.0,663.0,27.33
2017/4/30 7:00,40867.0,654.0,28.04
2017/4/30 8:00,42069.0,682.0,28.43
2017/4/30 9:00,42913.0,820.0,29.35
2017/4/30 10:00,43119.0,1007.0,29.72
2017/4/30 11:00,43071.0,1217.0,29.51
2017/4/30 12:00,42587.0,1344.0,29.08
2017/4/30 13:00,42049.0,1448.0,28.82
2017/4/30 14:00,41637.0,1637.0,27.86
2017/4/30 15:00,41416.0,1906.0,27.78
2017/4/30 16:00,41551.0,2207.0,27.75
2017/4/30 17:00,42034.0,2418.0,27.73
2017/4/30 18:00,42478.0,2502.0,28.07
2017/4/30 19:00,42757.0,2536.0,28.53
2017/4/30 20:00,42953.0,2553.0,28.94
2017/4/30 21:00,43425.0,2626.0,29.01
2017/4/30 22:00,42479.0,2775.0,27.83
2017/4/30 23:00,40872.0,2815.0,27.03
2017/5/1 0:00,39258.0,2869.0,27.16
2017/5/1 1:00,38439.0,2944.0,26.54
2017/5/1 2:00,38246.0,2985.0,26.37
2017/5/1 3:00,38252.0,3068.0,26.39
2017/5/1 4:00,38304.0,3188.0,26.28
2017/5/1 5:00,38585.0,3214.0,25.96
2017/5/1 6:00,39067.0,3206.0,26.27
2017/5/1 7:00,40004.0,3237.0,26.85
2017/5/1 8:00,41063.0,3398.0,27.69
2017/5/1 9:00,41570.0,3226.0,28.06
2017/5/1 10:00,42042.0,3360.0,28.12
2017/5/1 11:00,41999.0,3571.0,27.57
2017/5/1 12:00,41615.0,3522.0,27.06
2017/5/1 13:00,41293.0,3536.0,26.81
2017/5/1 14:00,40977.0,3535.0,26.23
2017/5/1 15:00,40575.0,3693.0,26.36
2017/5/1 16:00,40465.0,3629.0,26.43
2017/5/1 17:00,40899.0,3790.0,26.8
2017/5/1 18:00,41142.0,3571.0,27.26
2017/5/1 19:00,41412.0,3331.0,28.2
2017/5/1 20:00,41643.0,3125.0,28.97
2017/5/1 21:00,42549.0,2942.0,29.5
2017/5/1 22:00,42120.0,2837.0,28.68
2017/5/1 23:00,40440.0,2774.0,27.1
2017/5/2 0:00,38766.0,2867.0,27.52
2017/5/2 1:00,37981.0,2779.0,27.07
2017/5/2 2:00,37954.0,2663.0,26.84
2017/5/2 3:00,38196.0,2614.0,26.93
2017/5/2 4:00,38692.0,2608.0,27.32
2017/5/2 5:00,39972.0,2566.0,28.15
2017/5/2 6:00,43644.0,2517.0,31.89
2017/5/2 7:00,46490.0,2389.0,35.08
2017/5/2 8:00,46145.0,2411.0,36.73
2017/5/2 9:00,45812.0,2508.0,34.01
2017/5/2 10:00,45440.0,2550.0,33.13
2017/5/2 11:00,44878.0,2711.0,32.21
2017/5/2 12:00,44437.0,2855.0,31.19
2017/5/2 13:00,43956.0,2928.0,30.88
2017/5/2 14:00,43531.0,2989.0,30.14
2017/5/2 15:00,42993.0,3068.0,30.13
2017/5/2 16:00,42627.0,3091.0,30.12
2017/5/2 17:00,42648.0,2987.0,30.8
2017/5/2 18:00,42544.0,2723.0,30.97
2017/5/2 19:00,42385.0,2513.0,31.36
2017/5/2 20:00,42295.0,2312.0,31.21
2017/5/2 21:00,42458.0,2180.0,31.26
2017/5/2 22:00,41477.0,2168.0,30.25
2017/5/2 23:00,39505.0,2186.0,28.0
2017/5/3 0:00,37925.0,2167.0,28.21
2017/5/3 1:00,37131.0,2126.0,27.59
2017/5/3 2:00,37039.0,2108.0,27.19
2017/5/3 3:00,37265.0,2254.0,27.3
2017/5/3 4:00,37776.0,2464.0,28.19
2017/5/3 5:00,39382.0,2544.0,29.43
2017/5/3 6:00,42385.0,2508.0,31.25
2017/5/3 7:00,45481.0,2441.0,32.89
2017/5/3 8:00,46148.0,2415.0,33.66
2017/5/3 9:00,45771.0,2391.0,33.25
2017/5/3 10:00,45378.0,2350.0,32.82
2017/5/3 11:00,45016.0,2370.0,31.94
2017/5/3 12:00,44582.0,2386.0,31.69
2017/5/3 13:00,44391.0,2399.0,31.52
2017/5/3 14:00,43999.0,2438.0,30.86
2017/5/3 15:00,43458.0,2484.0,30.5
2017/5/3 16:00,43164.0,2435.0,30.43
2017/5/3 17:00,43153.0,2313.0,30.91
2017/5/3 18:00,42920.0,2077.0,30.98
2017/5/3 19:00,42817.0,1934.0,31.16
2017/5/3 20:00,42601.0,1831.0,31.26
2017/5/3 21:00,42631.0,1756.0,31.18
2017/5/3 22:00,41357.0,1802.0,30.25
2017/5/3 23:00,39032.0,1853.0,27.99
2017/5/4 0:00,36810.0,1901.0,27.37
2017/5/4 1:00,35922.0,1967.0,26.82
2017/5/4 2:00,35850.0,2109.0,26.55
2017/5/4 3:00,36089.0,2388.0,26.62
2017/5/4 4:00,36544.0,2754.0,26.69
2017/5/4 5:00,38090.0,2983.0,27.04
2017/5/4 6:00,41524.0,3091.0,30.16
2017/5/4 7:00,45112.0,3120.0,32.11
2017/5/4 8:00,45590.0,3336.0,32.97
2017/5/4 9:00,45249.0,3509.0,31.98
2017/5/4 10:00,44945.0,3566.0,31.54
2017/5/4 11:00,44609.0,3564.0,31.12
2017/5/4 12:00,44219.0,3526.0,30.77
2017/5/4 13:00,44028.0,3452.0,30.47
2017/5/4 14:00,43573.0,3423.0,30.06
2017/5/4 15:00,43035.0,3408.0,29.81
2017/5/4 16:00,42725.0,3357.0,29.71
2017/5/4 17:00,42752.0,3256.0,30.06
2017/5/4 18:00,42523.0,3058.0,30.34
2017/5/4 19:00,42327.0,2835.0,30.39
2017/5/4 20:00,42113.0,2579.0,30.18
2017/5/4 21:00,42169.0,2382.0,30.23
2017/5/4 22:00,41061.0,2307.0,29.57
2017/5/4 23:00,38967.0,2197.0,27.48
2017/5/5 0:00,36890.0,2605.0,27.95
2017/5/5 1:00,36111.0,2566.0,27.16
2017/5/5 2:00,35912.0,2537.0,26.9
2017/5/5 3:00,36060.0,2543.0,26.91
2017/5/5 4:00,36508.0,2652.0,27.17
2017/5/5 5:00,38082.0,2705.0,29.46
2017/5/5 6:00,41279.0,2680.0,30.47
2017/5/5 7:00,44602.0,2638.0,32.31
2017/5/5 8:00,44698.0,2620.0,33.37
2017/5/5 9:00,44374.0,2536.0,32.04
2017/5/5 10:00,44226.0,2387.0,31.74
2017/5/5 11:00,43801.0,2300.0,31.17
2017/5/5 12:00,43261.0,2249.0,30.88
2017/5/5 13:00,42560.0,2131.0,30.9
2017/5/5 14:00,41738.0,1945.0,30.55
2017/5/5 15:00,41160.0,1716.0,30.33
2017/5/5 16:00,40770.0,1470.0,30.39
2017/5/5 17:00,40720.0,1251.0,30.9
2017/5/5 18:00,40699.0,1057.0,31.23
2017/5/5 19:00,40298.0,890.0,31.08
2017/5/5 20:00,39717.0,766.0,30.6
2017/5/5 21:00,39853.0,651.0,30.46
2017/5/5 22:00,39060.0,548.0,30.35
2017/5/5 23:00,37442.0,445.0,29.84
2017/5/6 0:00,35516.0,405.0,29.6
2017/5/6 1:00,34581.0,324.0,29.03
2017/5/6 2:00,34195.0,269.0,28.83
2017/5/6 3:00,34231.0,235.0,28.65
2017/5/6 4:00,34269.0,221.0,28.63
2017/5/6 5:00,34426.0,176.0,28.92
2017/5/6 6:00,34965.0,125.0,28.96
2017/5/6 7:00,36277.0,92.0,30.08
2017/5/6 8:00,38022.0,69.0,31.04
2017/5/6 9:00,38584.0,58.0,31.75
2017/5/6 10:00,39121.0,51.0,31.36
2017/5/6 11:00,38900.0,55.0,30.49
2017/5/6 12:00,38455.0,72.0,30.63
2017/5/6 13:00,37965.0,94.0,30.0
2017/5/6 14:00,37586.0,106.0,29.41
2017/5/6 15:00,37381.0,126.0,28.83
